alpha,beta,w_dis,w_dir,w_reg,fold_id,heldout_group,train_anchor_label,test_labels,seed,E_distance_stress,E_direction_vr,RMSE_anchor_km,wrong_dir_count,last_raw_stress_trace
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,0,0,龜茲,鄯善|于闐,0,0.02145208515252587,0.4528301886792453,1010.2876553928102,24.0,36.332018419788945
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,0,0,龜茲,鄯善|于闐,1,0.021252812779490503,0.37735849056603776,1094.5021068805033,20.0,38.14797205876314
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,1,1,鄯善,龜茲|車師前,0,0.022673219770773013,0.37735849056603776,893.2926080961165,20.0,37.948989249466685
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,1,1,鄯善,龜茲|車師前,1,0.02474959906839501,0.6981132075471698,1018.2417001541808,37.0,37.82619957529698
-0.5,1.0,1.0,0.31622776601683794,10.0,0,0,龜茲,鄯善|于闐,0,0.055403995278041296,0.4339622641509434,970.8497909619851,23.0,70.3232701288774
-0.5,1.0,1.0,0.31622776601683794,10.0,0,0,龜茲,鄯善|于闐,1,0.05561536126326257,0.4339622641509434,955.1343208019924,23.0,68.73444922109508
-0.5,1.0,1.0,0.31622776601683794,10.0,1,1,鄯善,龜茲|車師前,0,0.059654012641241455,0.3584905660377358,896.9641068365955,19.0,70.59490206781523
-0.5,1.0,1.0,0.31622776601683794,10.0,1,1,鄯善,龜茲|車師前,1,0.060430394808269686,0.6037735849056604,993.1110653080998,32.0,72.92650697019128
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,0,0,龜茲,鄯善|于闐,0,0.13621378468290415,0.49056603773584906,1099.7841999006462,26.0,229.01708725647117
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,0,0,龜茲,鄯善|于闐,1,0.1343479594812123,0.4716981132075472,1096.121010808131,25.0,223.31040756668898
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,1,1,鄯善,龜茲|車師前,0,0.14547675498535556,0.20754716981132076,624.0257057067241,11.0,210.35254353875644
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,1,1,鄯善,龜茲|車師前,1,0.14238971080250717,0.39622641509433965,984.6463916619691,21.0,211.7746355468533
-0.5,2.0,1.0,0.31622776601683794,100.0,0,0,龜茲,鄯善|于闐,0,0.2797720000571405,0.5094339622641509,1213.1837049516496,27.0,1032.709287871167
-0.5,2.0,1.0,0.31622776601683794,100.0,0,0,龜茲,鄯善|于闐,1,0.2790151106393505,0.4716981132075472,1229.0288277742638,25.0,907.2602950668182
-0.5,2.0,1.0,0.31622776601683794,100.0,1,1,鄯善,龜茲|車師前,0,0.28616736625278194,0.22641509433962265,597.6273057453247,12.0,691.5230199648329
-0.5,2.0,1.0,0.31622776601683794,100.0,1,1,鄯善,龜茲|車師前,1,0.2892282389718805,0.20754716981132076,583.3001596563694,11.0,736.7744237844918
